id;created;game_status;game_type;result
1;2020-12-19T01:27:30;Cheese invoice Shores;lavender navigating Squares;Tools Gorgeous Steel Bacon bottom-line
2;2020-12-19T13:35:37;Bike paradigms Planner;Borders CSS Sausages;Montana
3;2020-12-19T03:43:35;Designer internet solution invoice;open-source;JSON Berkshire Land
4;2020-12-19T03:03:55;orchid Cambridgeshire;bypass Burgs transmit;Comoro Franc payment
5;2020-12-19T07:58:37;Borders productize service-desk;Industrial clicks-and-mortar;azure Savings Account
6;2020-12-19T06:47:43;SCSI circuit Intelligent Granite Hat;Manager Rubber New Jersey;Data Rubber
7;2020-12-19T00:55:40;open-source National;neutral;Canada
8;2020-12-19T16:43:12;Checking Account;Oklahoma Mouse online;bandwidth
9;2020-12-19T09:56:20;tan;Money Market Account;vertical
10;2020-12-19T11:39:35;magenta Home Loan Account markets;parsing;Macao Fundamental
